uuid, AuthorYear,Include,BiasRating,N,StatType,StatTypeDetails,ModelDescription,StatGrouping,,Stat,CILow,CIHigh,SE,T-Ratio,Wald,PValue,Statistic from Largest Model,Table,ModelNumber,Finding In Abstract?,PreventativeOrRecovery,OutcomeType,OutcomeSubType,OutcomeScale,OutcomeScaleDetails,OutcomeDetails,Outcome Directionality,ToInvert,OutcomeNotes,Outcome Measured at Baseline?,ExposureCategory,Exposure,Exposure - Additional Notes,Exposure Measured at Baseline,Summary (SI),Notes,CountryPopulation,Design (F/U Period),Description of Quality/Bias,Reference
027f6ed8-9018-4b48-bfb9-845734eb1dbc,Adamczyk and Felson 2012,no,Low / Moderate,"2,362",OR,,,,,0.98,,,,,,>0.1,yes,5,8,,,Substance Use,Smoking,Dichotomous,Use (Started/Used),Initiation for smoking (dichotomous),"1 - yes, 0 - no",,,,Activities,Religious Sponsored Activities,Involvement in activities sponsored by religious organizations,,"There was not a significant finding for the outcome of initiation to cigarette smoking [OR=0.98, p>0.05]",only those who had already started at W1 were included in the analysis,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
f4d1ddae-7128-4209-a7bb-95e593cf081a,Adamczyk and Felson 2012,yes,Low / Moderate,"2,362",OR,,,OR,,0.78,,,,,,<0.01,yes,5,8,no,preventative,Substance Use,Smoking,Dichotomous,Use (Started/Used),Initiation for smoking (dichotomous),,,,,R/S,Importance of Faith,,,,,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
9ae0d9a7-7996-4cdf-929e-cb65e1e9c2bd,Adamczyk and Felson 2012,yes,Low / Moderate,"2,362",OR,,,OR,,0.97,,,,,,>0.1,yes,5,8,no,preventative,Substance Use,Smoking,Dichotomous,Use (Started/Used),Initiation for smoking (dichotomous),,,,,R/S,Prayer (frequency),,,"Frequency of prayer appeared to be a significant predictor of a lower odds of smoking initiation [R=0.8, p<0.01]",only those who had already started at W1 were included in the analysis,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
ed381b86-f001-4595-84b2-19d78bd8e680,Adamczyk and Felson 2012,yes,Low / Moderate,"2,362",OR,logit,,OR,,1.010,,,,,,>0.1,yes,5,8,no,preventative,Substance Use,Smoking,Dichotomous,Use (Started/Used),Initiation for smoking (dichotomous),,,,,RSA,Religious Service Attendance,,,,,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
1011b34b-9959-4edd-b758-c04f349e0d4f,Adamczyk and Felson 2012,no,Low / Moderate,"2,362",OR,,,,,0.96,,,,,,>0.1,yes,5,8,,,Substance Use,Smoking,Dichotomous,Use (Started/Used),Initiation for smoking (dichotomous),"1 - yes, 0 - no",,,,Parents,Parental Religious Service Attendance,,,,,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
d1382288-f987-4132-9215-8130212dc424,Adamczyk and Felson 2012,no,Low / Moderate,"2,362",OR,,,,,0.99,,,,,,>0.1,yes,6,3,,,Substance Use,Marijuana,Dichotomous,Use (Started/Used),Initiation for marijuana (dichotomous),"1 - yes, 0 - no",,,,Activities,Religious Sponsored Activities,Involvement in activities sponsored by religious organizations,,,,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
5754caac-76e1-4e16-b3a0-54db8b0e823a,Adamczyk and Felson 2012,yes,Low / Moderate,"1,949",OR,,,OR,,0.60,,,,,,<0.001,yes,6,4,no,preventative,Substance Use,Marijuana,Dichotomous,Use (Started/Used),Initiation for marijuana (dichotomous),,,,,R/S,Importance of Faith,,,,,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
18f96db2-5581-4055-920e-97dd06fdc86c,Adamczyk and Felson 2012,yes,Low / Moderate,"1,949",OR,,,OR,,1.11,,,,,,<0.05,yes,6,4,no,preventative,Substance Use,Marijuana,Dichotomous,Use (Started/Used),Initiation for marijuana (dichotomous),,,,,R/S,Prayer frequency,,,,,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
86718327-0bd4-49ba-8da9-885c02692fc4,Adamczyk and Felson 2012,yes,Low / Moderate,"1,949",OR,logit,,OR,,1.050,,,,,,>0.1,yes,6,4,no,preventative,Substance Use,Marijuana,Dichotomous,Use (Started/Used),Initiation for marijuana (dichotomous),,,,,RSA,Religious Service Attendance,,,,,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
8a1e400c-d86b-468d-86bc-2abab1ec1b49,Adamczyk and Felson 2012,no,Low / Moderate,"1,949",OR,,,,,0.95,,,,,,>0.1,yes,6,4,,,Substance Use,Marijuana,Dichotomous,Use (Started/Used),Initiation for marijuana (dichotomous),"1 - yes, 0 - no",,,,Parents,Parental Religious Service Attendance,,,,,US Youth (median age 15) from the National Study of Youth and Religion,Prospective cohort study (2 years),"Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",
