"uuid","AuthorYear","Include","QuestionOrReason","BiasRating","N","StatType","StatTypeDetails","ModelDescription","StatGrouping","...11","Stat","CILow","CIHigh","SE","T-Ratio","Wald","PValue","Statistic from Largest Model","Table","ModelNumber","Finding In Abstract?","PreventativeOrRecovery","OutcomeType","OutcomeSubType","OutcomeScale","OutcomeScaleDetails","OutcomeDetails","ToInvert","DrugsIncludeMarijuana","OutcomeNotes","Outcome Measured at Baseline?","ExposureCategory","Exposure","Exposure - Additional Notes","Exposure Measured at Baseline","Summary (SI)","Notes","CountryPopulation","Design (F/U Period)","Description of Quality/Bias","Reference","SheetRowNumber","id","id_masked"
"027f6ed8-9018-4b48-bfb9-845734eb1dbc","Adamczyk and Felson 2012","no",NA,"Low / Moderate","2362","OR",NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,">0.1","yes","5","8",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Started/Used)","Initiation for smoking (dichotomous)",NA,NA,NA,NA,"Activities","Religious Sponsored Activities","Involvement in activities sponsored by religious organizations",NA,"There was not a significant finding for the outcome of initiation to cigarette smoking [OR=0.98, p>0.05]","only those who had already started at W1 were included in the analysis","US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,2,"Adamczyk and Felson 2012 - 2","789550"
"f4d1ddae-7128-4209-a7bb-95e593cf081a","Adamczyk and Felson 2012","yes",NA,"Low / Moderate","2362","OR",NA,NA,"OR",NA,0.78,NA,NA,NA,NA,NA,"<0.01","yes","5","8","no","preventative","Substance Use","Smoking","Dichotomous","Use (Started/Used)","Initiation for smoking (dichotomous)",NA,NA,NA,NA,"R/S","Importance of Faith",NA,NA,NA,NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,3,"Adamczyk and Felson 2012 - 3","0deabd"
"9ae0d9a7-7996-4cdf-929e-cb65e1e9c2bd","Adamczyk and Felson 2012","yes",NA,"Low / Moderate","2362","OR",NA,NA,"OR",NA,0.97,NA,NA,NA,NA,NA,">0.1","yes","5","8","no","preventative","Substance Use","Smoking","Dichotomous","Use (Started/Used)","Initiation for smoking (dichotomous)",NA,NA,NA,NA,"R/S","Prayer (frequency)",NA,NA,"Frequency of prayer appeared to be a significant predictor of a lower odds of smoking initiation [R=0.8, p<0.01]","only those who had already started at W1 were included in the analysis","US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,4,"Adamczyk and Felson 2012 - 4","5f7f5f"
"ed381b86-f001-4595-84b2-19d78bd8e680","Adamczyk and Felson 2012","yes",NA,"Low / Moderate","2362","OR","logit",NA,"OR",NA,1.01,NA,NA,NA,NA,NA,">0.1","yes","5","8","no","preventative","Substance Use","Smoking","Dichotomous","Use (Started/Used)","Initiation for smoking (dichotomous)",NA,NA,NA,NA,"RSA","Religious Service Attendance",NA,NA,NA,NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,5,"Adamczyk and Felson 2012 - 5","718638"
"1011b34b-9959-4edd-b758-c04f349e0d4f","Adamczyk and Felson 2012","no",NA,"Low / Moderate","2362","OR",NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,">0.1","yes","5","8",NA,NA,"Substance Use","Smoking","Dichotomous","Use (Started/Used)","Initiation for smoking (dichotomous)",NA,NA,NA,NA,"Parents","Parental Religious Service Attendance",NA,NA,NA,NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,6,"Adamczyk and Felson 2012 - 6","028cac"
"d1382288-f987-4132-9215-8130212dc424","Adamczyk and Felson 2012","no",NA,"Low / Moderate","2362","OR",NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA,">0.1","yes","6","3",NA,NA,"Substance Use","Marijuana","Dichotomous","Use (Started/Used)","Initiation for marijuana (dichotomous)",NA,NA,NA,NA,"Activities","Religious Sponsored Activities","Involvement in activities sponsored by religious organizations",NA,NA,NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,7,"Adamczyk and Felson 2012 - 7","f2adc2"
"5754caac-76e1-4e16-b3a0-54db8b0e823a","Adamczyk and Felson 2012","yes",NA,"Low / Moderate","1949","OR",NA,NA,"OR",NA,0.6,NA,NA,NA,NA,NA,"<0.001","yes","6","4","no","preventative","Substance Use","Marijuana","Dichotomous","Use (Started/Used)","Initiation for marijuana (dichotomous)",NA,NA,NA,NA,"R/S","Importance of Faith",NA,NA,NA,NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,8,"Adamczyk and Felson 2012 - 8","30af9c"
"18f96db2-5581-4055-920e-97dd06fdc86c","Adamczyk and Felson 2012","yes",NA,"Low / Moderate","1949","OR",NA,NA,"OR",NA,1.11,NA,NA,NA,NA,NA,"<0.05","yes","6","4","no","preventative","Substance Use","Marijuana","Dichotomous","Use (Started/Used)","Initiation for marijuana (dichotomous)",NA,NA,NA,NA,"R/S","Prayer frequency",NA,NA,NA,NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,9,"Adamczyk and Felson 2012 - 9","f83aab"
"86718327-0bd4-49ba-8da9-885c02692fc4","Adamczyk and Felson 2012","yes",NA,"Low / Moderate","1949","OR","logit",NA,"OR",NA,1.05,NA,NA,NA,NA,NA,">0.1","yes","6","4","no","preventative","Substance Use","Marijuana","Dichotomous","Use (Started/Used)","Initiation for marijuana (dichotomous)",NA,NA,NA,NA,"RSA","Religious Service Attendance",NA,NA,NA,NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,10,"Adamczyk and Felson 2012 - 10","b095f4"
"8a1e400c-d86b-468d-86bc-2abab1ec1b49","Adamczyk and Felson 2012","no",NA,"Low / Moderate","1949","OR",NA,NA,NA,NA,0.95,NA,NA,NA,NA,NA,">0.1","yes","6","4",NA,NA,"Substance Use","Marijuana","Dichotomous","Use (Started/Used)","Initiation for marijuana (dichotomous)",NA,NA,NA,NA,"Parents","Parental Religious Service Attendance",NA,NA,NA,NA,"US Youth (median age 15) from the National Study of Youth and Religion","Prospective cohort study (2 years)","Controlled for baseline outcomes and multiple other potential confounders (maternal demographics and behaviors, income, neighborhood factors); adjusted significance levels to account for multiple testing.",NA,11,"Adamczyk and Felson 2012 - 11","6deb82"
